date	src/adapter	src/adapter.ts	src/client	src/compose.ts	src/context.ts	src/deno	src/helper	src/helper.ts	src/hono-base.ts	src/hono.d.ts	src/hono.ts	src/http-exception.ts	src/index.ts	src/jsx	src/methods.ts	src/middleware	src/middleware.ts	src/mod.ts	src/node.ts	src/preset	src/request	src/request.ts	src/response.ts	src/router	src/router.ts	src/test-utils	src/tiny.ts	src/types.ts	src/util.ts	src/utils	src/validator
2021-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-01	0	0	0	0	261	0	0	0	0	198	308	0	11	0	28	1276	35	0	132	0	0	0	0	0	0	0	0	0	53	337	0
2022-02	0	0	0	50	52	0	0	0	0	0	405	0	1	0	0	633	23	0	60	0	0	0	0	395	15	0	0	0	0	597	0
2022-03	0	0	0	43	6	0	0	0	0	0	23	0	0	0	0	1081	0	0	0	0	0	0	0	167	0	0	0	0	0	50	0
2022-04	0	0	0	4	127	0	0	0	0	0	262	0	10	0	0	557	0	0	0	0	0	0	0	40	0	0	0	0	0	747	0
2022-05	0	0	0	70	199	0	0	0	0	0	558	0	14	0	0	838	0	0	0	0	0	0	56	2174	21	0	0	0	0	180	0
2022-06	0	0	0	7	166	0	0	0	0	0	93	0	3	0	0	1064	0	0	0	0	0	138	56	208	0	0	0	0	0	244	0
2022-07	0	0	0	12	109	43	0	0	0	0	37	0	20	0	0	2505	17	123	0	0	0	91	0	69	0	0	0	0	0	173	0
2022-08	0	0	0	99	52	0	0	0	0	0	107	0	2	0	0	683	0	2	0	0	0	30	0	21	0	0	0	0	0	348	0
2022-09	0	0	0	48	109	27	0	0	0	0	311	0	0	0	0	2949	1	0	0	0	0	146	0	1176	3	0	0	0	0	490	0
2022-10	0	0	0	61	49	2	0	0	0	0	136	0	1	0	0	1943	1	5	0	0	0	11	0	28	0	0	0	0	0	286	96
2022-11	0	0	0	22	129	2	0	0	0	0	133	0	14	0	0	167	0	16	0	0	0	25	0	184	0	0	0	142	0	27	363
2022-12	0	0	0	7	127	0	0	0	0	0	281	0	13	0	0	1573	0	13	0	0	0	270	0	122	0	0	0	375	0	6	2247
2023-01	70	0	0	11	332	0	0	0	0	0	121	0	13	0	0	177	2	13	0	0	0	126	0	222	0	0	0	380	0	660	0
2023-02	142	0	765	16	29	2	0	0	0	0	347	0	12	0	0	353	1	24	0	0	0	180	0	233	0	0	0	737	0	140	86
2023-03	223	38	88	0	134	0	0	0	0	0	64	0	1	0	0	53	0	1	0	0	0	22	0	0	0	0	0	183	0	626	229
2023-04	33	0	0	0	104	0	0	0	314	0	315	5	4	0	0	0	0	1	0	0	0	14	0	1014	0	0	14	0	0	142	0
2023-05	273	14	21	4	65	0	0	0	66	0	12	0	16	0	0	216	3	5	0	26	0	24	0	145	1	0	0	11	0	58	0
2023-06	33	0	36	0	87	0	0	0	50	0	0	1	0	0	0	265	0	13	0	0	0	22	0	101	2	0	0	13	0	36	2
2023-07	438	0	12	0	0	0	0	0	17	0	0	0	0	0	0	214	1	0	0	6	0	0	0	68	0	0	0	0	0	51	0
2023-08	314	0	77	0	69	0	37	4	66	0	12	0	2	0	0	466	9	2	0	24	0	57	0	0	0	0	0	377	0	272	126
2023-09	107	0	248	0	85	0	182	1	22	0	0	0	2	47	0	253	2	2	0	0	0	64	0	0	0	0	0	463	0	544	53
2023-10	78	0	16	16	33	0	145	4	201	0	21	0	0	738	0	233	1	0	0	30	0	31	0	2341	34	82	0	4	0	128	240
2023-11	249	0	0	44	60	0	702	1	23	0	0	0	0	1623	0	235	0	0	0	0	0	39	0	0	0	0	0	1141	0	88	56
2023-12	38	0	93	9	268	0	382	0	89	0	0	0	0	6	0	355	1	0	0	0	0	68	0	89	2	0	0	202	0	48	24
2024-01	426	0	108	0	366	0	4178	5	239	0	4	18	0	5667	0	369	3	0	0	8	0	316	0	198	0	0	0	378	0	580	115
2024-02	223	0	16	0	29	0	1017	2	7	0	0	5	0	2769	0	351	1	0	0	0	0	0	0	2886	0	0	0	36	0	279	126
2024-03	360	0	44	0	9	0	1027	2	6	0	0	0	2	1084	0	1387	3	2	0	0	0	25	0	165	0	9	0	459	0	1383	208
2024-04	240	0	443	0	40	0	120	0	0	0	0	0	0	1189	0	333	0	0	0	0	0	8	0	4	0	0	0	154	0	24	36
2024-05	931	0	428	41	223	0	756	13	95	0	17	27	34	2737	0	2140	22	40	0	18	0	59	0	48	109	5	0	282	0	884	99
2024-06	630	0	151	0	259	0	215	0	189	0	0	10	0	3664	0	311	0	0	0	18	0	83	0	0	0	0	0	79	0	139	0
2024-07	395	0	101	4	95	0	42	0	22	0	0	2	0	320	0	1070	0	0	0	66	0	34	0	8	0	0	0	352	0	399	343
2024-08	21	0	90	0	106	0	2	0	0	0	0	0	0	783	0	381	0	0	0	0	0	0	0	12	0	0	0	6	0	88	50
2024-09	65	0	3	0	50	0	40	0	0	0	0	0	0	140	0	1669	0	0	0	4	0	0	0	6	0	0	0	57	0	142	0
2024-10	547	0	91	8	77	0	340	0	22	0	0	0	0	298	0	125	0	0	0	0	0	13	0	238	0	0	0	181	0	428	0
2024-11	119	0	24	3	31	0	413	0	93	0	0	0	0	15	0	255	0	0	0	0	0	24	0	290	0	0	0	2	0	112	0
2024-12	31	0	0	0	77	0	32	0	6	0	0	6	0	0	0	31	0	0	0	0	0	0	0	47	0	0	0	0	0	72	18
2025-01	96	0	0	0	24	0	341	0	0	0	0	0	0	46	0	14	0	0	0	0	0	0	0	1	0	0	0	445	0	3	0
2025-02	9	0	27	50	4	0	510	0	4	0	0	0	0	2	0	1588	0	0	0	0	0	2	0	130	0	0	0	0	0	462	0
2025-03	81	0	0	8	0	0	0	0	7	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2025-04	11	0	15	0	39	0	110	0	10	0	0	0	0	3	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2025-05	0	0	0	0	0	0	40	0	2	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0
2025-06	48	0	0	0	209	0	604	0	15	0	0	0	0	148	0	520	0	0	0	0	1	13	0	22	0	0	0	1	0	137	0
2025-07	31	0	37	0	27	0	55	0	0	0	0	0	0	39	0	18	0	0	0	0	0	2	0	0	0	0	0	82	0	128	0
2025-08	608	0	374	0	2	0	118	0	0	0	0	0	0	2	0	696	0	0	0	0	0	0	0	31	0	0	0	0	0	196	2
2025-09	10	0	71	0	33	0	45	0	5	0	0	0	0	0	0	215	0	0	0	0	0	4	0	0	0	0	0	0	0	132	0
2025-10	41	0	106	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	497	0	0	0	617	0	17	362