version	unpackedBytes
0.0.1	7838
0.0.7	24854
0.0.2	8288
0.0.6	22865
0.0.3	17351
0.0.4	21812
0.0.8	26374
0.0.9	33625
0.0.5	21786
0.0.14	35340
0.0.12	31213
0.0.10	35598
0.0.13	34692
0.0.11	24232
0.1.0	39014
0.0.15	35412
0.0.16	38654
0.2.2	46445
0.2.0	42083
0.2.4	51357
0.2.1	46584
0.3.1	50587
0.2.3	45732
0.3.0	50348
0.3.2	50844
0.3.3	52592
0.3.4	51683
0.3.5	52727
0.3.6	54031
0.3.7	54079
0.4.0	55906
0.3.8	54435
0.4.1	66667
0.5.0	69614
0.5.3	73233
0.4.2	68911
0.5.2	72632
0.5.4	73684
0.5.1	71842
0.5.6	82886
0.5.5	74547
0.5.10	85914
0.5.7	83126
1.0.0	86916
0.5.9	84991
0.5.8	83955
1.1.0	104302
1.2.0	118094
1.1.1	104725
1.3.0	258550
1.3.1	117165
1.2.1	118300
1.2.2	255164
1.3.2	117323
1.3.3	117358
1.3.4	117824
1.3.5	116414
1.4.0	123695
1.3.6	120468
1.4.1	123321
1.4.2	125943
1.4.3	123972
1.4.4	124169
1.4.5	126879
1.4.6	131809
1.5.0	132542
1.5.1	133034
1.4.7	133155
1.5.2	133232
1.6.2	135397
1.6.0-0	133413
1.6.0	135113
1.6.4	135682
1.6.1	135384
2.0.0	109240
1.6.3	135780
2.0.1	109763
2.0.2	109807
2.0.4	113264
2.0.5	113261
2.0.3	113256
2.0.8	118438
2.0.7	118067
2.0.9	118457
2.0.6	114139
2.1.0	119785
2.1.3	119506
2.1.4	121896
2.1.2	120079
2.1.1	120156
2.2.1	231758
2.2.2	233611
2.2.0	232159
2.2.3	233617
2.2.4	242074
2.3.0	263458
2.2.5	242824
2.3.1	264438
2.3.2	265609
2.4.1	286215
2.5.1	286843
2.5.3	286665
2.5.2	287191
2.5.0	287067
2.4.0	285959
2.5.4	288457
2.5.5	288583
2.5.7	289072
2.5.6	288609
2.5.10	291246
2.5.9	289655
2.6.0	290202
2.6.1	290245
2.5.8	289085
2.6.2	291391
2.7.0	292125
3.0.0-0	253664
3.0.0-rc.2	253713
3.0.0-rc.3	253734
3.0.0-rc.4	260001
2.7.1	292535
2.7.3	293288
2.7.2	292623
3.0.0-rc.5	264779
3.0.0-rc.6	269489
3.0.0-rc.8	270797
3.0.0-rc.7	269494
2.7.4	294027
2.7.5	294123
3.0.0-rc.9	277713
2.7.6	294301
3.0.0-rc.10	272810
2.7.7	294721
3.0.0-rc.11	277772
3.0.0-rc.12	280389
3.0.0-rc.13	279468
3.0.0-rc.14	280899
3.0.0-rc.16	281192
2.7.8	294733
3.0.0-rc.15	281088
3.0.0	281219
3.0.1	283170
3.0.2	282926
3.0.4	286650
3.0.3	286456
3.1.0-rc.1	292913
3.0.5	286730
3.1.0-rc.2	294111
3.1.1	299353
3.1.0	300318
3.1.2	300198
3.1.3	300238
3.1.6	301452
3.1.5	301441
3.1.4	300730
3.1.7	301454
3.1.8	300162
3.2.0-rc.1	330338
3.2.0-rc.2	331925
3.2.0-rc.3	332164
3.2.0	334980
3.2.0-rc.4	332098
3.2.2	335837
3.2.1	335100
3.2.3	336001
3.2.5	337348
3.2.4	336447
3.2.6	337402
3.2.7	339069
3.3.0	356324
3.3.0-rc.1	355836
3.3.1	356522
3.3.3	356815
3.4.0	368140
3.3.4	358376
3.3.2	356707
3.4.2	371331
3.4.1	368192
3.4.3	371334
3.5.0-rc.1	382190
3.5.1	382280
3.5.0	382184
3.5.2	382097
3.5.3	382107
3.5.5	383185
3.5.4	382098
3.5.6	383263
3.5.7	390280
3.5.8	390379
3.6.0	398339
3.6.0-rc.2	396547
3.6.0-rc.1	392753
3.6.2	398715
3.6.1	398658
3.6.3	399384
3.7.0-rc.1	408051
3.7.0-rc.2	408613
3.7.0	408624
3.7.1	408774
3.7.2	407055
3.7.4	408710
3.8.0-rc.1	418316
3.7.5	409046
3.7.3	409155
3.7.6	412102
3.8.0-rc.2	418652
3.8.0-rc.3	422601
3.8.0	420964
3.8.1	420974
3.8.2	420962
3.8.3	420982
3.8.4	422928
3.9.0	445999
3.9.0-rc.1	445422
3.9.1	446117
3.9.2	446225
3.10.0-rc.2	459156
3.10.0	461854
3.10.0-rc.1	457859
3.10.1	460331
3.10.2	460307
3.10.3	460727
3.10.5	460592
3.11.0	518969
3.11.1	518943
3.10.4	460631
3.11.3	518866
3.11.4	518867
3.11.2	519031
3.11.5	518763
3.11.6	518705
3.11.7	517121
3.11.8	518528
3.11.9	518506
3.11.10	518589
3.11.11	518564
3.11.12	519807
3.12.0	552640
3.12.1	552380
3.12.3	556021
4.0.0-rc.0	570046
3.12.2	555545
3.12.4	556023
3.12.6	561737
4.0.0-rc.1	615271
3.12.5	556453
3.12.7	563301
4.0.0-rc.3	664996
4.0.0-rc.2	641959
3.12.8	563255
3.12.9	565868
3.12.11	565851
4.0.0-rc.4	676185
3.12.10	565879
3.12.12	566043
4.0.1	690444
4.0.2	693313
4.0.0	690186
4.0.4	694469
4.0.3	693563
4.0.7	700839
4.0.6	700573
4.0.5	696098
4.0.8	701015
4.0.9	700907
4.1.0-rc.1	717668
4.0.10	701626
4.1.0	740521
4.1.3	745961
4.1.2	744095
4.1.1	741720
4.1.4	747009
4.1.5	747173
4.1.7	747493
4.1.6	747471
4.2.0-rc.1	777422
4.2.2	779344
4.2.1	778870
4.2.0	779314
4.2.3	781100
4.2.4	781241
4.2.5	782871
4.2.6	784388
4.2.9	784986
4.3.0	812097
4.2.7	784312
4.2.8	785274
4.3.1	812577
4.3.2	812520
4.3.4	814128
4.3.3	813549
4.3.5	814000
4.3.9	821042
4.3.6	814546
4.3.7	819847
4.3.8	820484
4.3.10	821829
4.3.11	821867
4.4.0-rc.1	859942
4.4.0	869091
4.4.1	882192
4.4.2	882192
4.4.3	885325
4.4.4	887623
4.4.5	886545
4.5.0-rc.1	896638
4.4.6	887003
4.4.7	887067
4.4.9	888397
4.4.8	888221
4.4.10	889570
4.5.0-rc.2	953433
4.4.11	890247
4.4.12	896933
4.4.13	897067
4.5.1	997228
4.5.2	997591
4.5.0	998485
4.5.3	999668
4.5.5	1005040
4.5.4	1000287
4.5.7	1011291
4.5.8	1011293
4.5.11	1018583
4.5.9	1012162
4.6.0	1032980
4.5.10	1016096
4.5.6	1006468
4.6.1	1032978
4.6.2	1034623
4.6.7	1048776
4.6.4	1036529
4.6.6	1045324
4.6.3	1038354
4.6.5	1043985
4.6.8	1054212
4.6.10	1058011
4.6.9	1058315
4.6.11	1060240
4.6.12	1062978
4.6.14	1064371
4.6.15	1066470
4.6.13	1064627
4.6.16	1067303
4.6.18	1086149
4.6.17	1067289
4.6.19	1086290
4.7.3	1132938
4.7.2	1132794
4.6.20	1071169
4.7.0	1132375
4.7.1	1132540
4.7.4	1132982
4.7.5	1133290
4.7.6	1133467
4.7.7	1133291
4.7.9	1134615
4.7.8	1134479
4.7.10	1134836
4.7.11	1135235
4.8.1	1149383
4.8.0	1149507
4.8.2	1149554
4.8.3	1149849
4.8.4	1150663
4.8.5	1151590
4.8.8	1151231
4.8.7	1151399
4.8.6	1151399
4.8.9	1150605
4.8.11	1150828
4.8.10	1150903
4.8.12	1151161
4.9.0	1165364
4.9.1	1166165
4.9.4	1169958
4.9.2	1166235
4.9.3	1169910
4.9.5	1170382
4.9.6	1170332
4.9.7	1170790
4.9.9	1172158
4.9.8	1171172
4.9.10	1172954
4.9.11	1185561
4.9.12	1186043
4.10.0	1201646